response_id,language_have_worked_with,language_want_to_work_with,database_have_worked_with,database_want_to_work_with,platform_have_worked_with,platform_want_to_work_with,web_framework_have_worked_with,web_framework_want_to_work_with,development_environment_have_worked_with,development_environment_want_to_work_with,ai_model_have_worked_with,ai_model_want_to_work_with
11048,Bash/Shell (all shells);C#;PowerShell;TypeScript,Bash/Shell (all shells);C#;PowerShell;TypeScript,PostgreSQL,,,,Angular,Angular;Blazor,Notepad++;Rider;Visual Studio Code;WebStorm,Notepad++;Rider;Visual Studio Code;WebStorm,,
11049,Bash/Shell (all shells);C#;HTML/CSS;Java;Kotlin;MicroPython;PowerShell;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Kotlin;PowerShell;Rust;SQL;TypeScript,H2;MongoDB;MySQL,H2;MySQL;PostgreSQL,APT;Docker;Gradle;npm;NuGet;Vite,APT;Chocolatey;Docker;Gradle;NuGet;pnpm;Vite;Yarn,Node.js;Spring Boot;Svelte,Node.js;Svelte,IntelliJ IDEA;Rider;Visual Studio Code,IntelliJ IDEA;Rider;Visual Studio Code,openAI GPT (chatbot models),openAI GPT (chatbot models)
11050,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Go,Cosmos DB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Dynamodb;Redis,Digital Ocean;Docker;Kubernetes;Microsoft Azure;npm;Pip;Vite;Webpack,,Express;Node.js;React;Vue.js,,Bolt;Claude Code;Cursor;Visual Studio;Visual Studio Code,,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Image generating models;X Grok models,
11051,C#;HTML/CSS;JavaScript;Python;Ruby;Scala;SQL,Rust;TypeScript,MySQL;PostgreSQL;Redis,,Amazon Web Services (AWS);Docker;Microsoft Azure;npm;NuGet;Pip;Splunk;Vite,,ASP.NET Core;React;Ruby on Rails;Vue.js,ASP.NET Core;Blazor;Node.js;Vue.js,Cursor;Sublime Text;Vim;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,,
11052,C#;SQL,C#;Python;SQL;Mojo,PostgreSQL,PostgreSQL,Docker;Homebrew;IBM Cloud;Kubernetes;MSBuild;npm;NuGet,Docker;Google Cloud;Homebrew;IBM Cloud;Kubernetes;Microsoft Azure;MSBuild;npm;NuGet;Terraform,ASP.NET;ASP.NET Core,ASP.NET Core,Notepad++;PyCharm;Rider;Sublime Text;Vim;Visual Studio;Visual Studio Code;Xcode,Notepad++;PyCharm;Rider;Sublime Text;Vim;Visual Studio;Visual Studio Code;Xcode,DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;Perplexity Sonar models,DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;Perplexity Sonar models
11053,Assembly;C;HTML/CSS;Java;JavaScript;Python;SQL,,MySQL;Oracle;SQLite,Neo4J;PostgreSQL,,,Spring Boot,Node.js;React,Visual Studio Code,,openAI GPT (chatbot models),
11054,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL,Bash/Shell (all shells);C#,Microsoft SQL Server,,Docker;Kubernetes;Microsoft Azure;NuGet;Podman,Docker;Kubernetes;NuGet;Prometheus,ASP.NET Core;Blazor,ASP.NET Core;Blazor,,,,
11055,Elixir;Erlang;Python;SQL,Elixir;Erlang;Lisp;Python;Scala;SQL;Zig,,,Amazon Web Services (AWS);Homebrew;Maven (build tool);Pip,Homebrew;Maven (build tool);Poetry,Phoenix,Phoenix,,,,
11056,,,,,,,,,,,,
11057,Bash/Shell (all shells);C;C#;Dart;GDScript;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;Python;Rust;SQL;TypeScript,Assembly;Bash/Shell (all shells);C#;F#;HTML/CSS;JavaScript;Kotlin;MicroPython;PowerShell;Python;R;SQL;TypeScript,MySQL;Redis;SQLite,BigQuery;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Chocolatey;Cloudflare;Composer;Digital Ocean;Docker;Firebase;Google Cloud;Microsoft Azure;npm;NuGet;Pip;Vite,Cloudflare;Composer;Docker;Firebase;Google Cloud;Kubernetes;Microsoft Azure;npm;NuGet;Pip;Podman;Prometheus;Terraform;Vite;Yarn,ASP.NET;ASP.NET Core;Express;FastAPI;Flask;jQuery;Laravel;Node.js;Vue.js,ASP.NET;ASP.NET Core;Blazor;Deno;Express;Laravel;Node.js;React;Vue.js,Cursor;Nano;Neovim;Visual Studio;Visual Studio Code,Nano;Neovim;Visual Studio Code,openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,openAI GPT (chatbot models);openAI Reasoning models
11058,HTML/CSS;Java;JavaScript;TypeScript,HTML/CSS;JavaScript;Kotlin;Python;TypeScript,Dynamodb,PostgreSQL,,,Angular;Next.js;React;Spring Boot,Angular;Next.js;React;Spring Boot,IntelliJ IDEA;WebStorm,IntelliJ IDEA;WebStorm,,
11059,Bash/Shell (all shells);C#;F#;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,,Cosmos DB;Dynamodb;Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;SQLite,,Amazon Web Services (AWS);Chocolatey;Composer;Datadog;Digital Ocean;Docker;Firebase;Kubernetes;Microsoft Azure;MSBuild;npm;NuGet;Prometheus;Yarn,,Angular;ASP.NET;ASP.NET Core;Blazor;React;Vue.js,,,,,
11060,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PowerShell;SQL,Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Scala;SQL,Microsoft SQL Server,BigQuery;Cassandra;Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;Snowflake;Cockroachdb;Amazon Redshift,Amazon Web Services (AWS);Docker;Kubernetes;Maven (build tool),Amazon Web Services (AWS);Datadog;Docker;Google Cloud;Gradle;Kubernetes;Maven (build tool);Microsoft Azure;npm;Podman;Prometheus;Splunk;Terraform,Node.js;Spring Boot,Node.js;Spring Boot,IntelliJ IDEA;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio;Visual Studio Code;WebStorm,,
11061,,,,,,,,,,,,
11062,,,,,,,,,,,,
11063,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Go;Java;Rust,Cosmos DB;Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,Snowflake;Clickhouse;Amazon Redshift,Amazon Web Services (AWS);Chocolatey;Cloudflare;Docker;Gradle;Homebrew;Microsoft Azure;MSBuild;npm;NuGet;Pip;Podman;Prometheus;Vite;Webpack,Composer;Kubernetes;Terraform;Yarn,Angular;ASP.NET;ASP.NET Core;FastAPI;jQuery;NestJS;Node.js;React,Blazor;Deno;Spring Boot;Vue.js,Claude Code;Cursor;Rider;Vim;Visual Studio;Visual Studio Code;Windsurf;Zed,,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Microsoft Phi-4 models;openAI GPT (chatbot models),DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI Image generating models;openAI Reasoning models
11064,Assembly;C;HTML/CSS;Java;JavaScript;MATLAB;Python,Assembly;C;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,,,,,Node.js;React,Node.js;React;Spring Boot,PyCharm;Visual Studio;Visual Studio Code,Visual Studio Code,openAI GPT (chatbot models),
11065,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Dart;Delphi;Elixir;Erlang;F#;Fortran;GDScript;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;MicroPython;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zig;Mojo;Gleam,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Dart;Delphi;Elixir;Erlang;F#;Fortran;GDScript;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;MATLAB;MicroPython;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zig;Mojo;Gleam,BigQuery;Cassandra;Cloud Firestore;Cosmos DB;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Redis;Snowflake;SQLite;Supabase;Clickhouse;Cockroachdb;Amazon Redshift;Pocketbase;Valkey,BigQuery;Cassandra;Cloud Firestore;Cosmos DB;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Redis;Snowflake;SQLite;Supabase;Clickhouse;Cockroachdb;Amazon Redshift;Pocketbase;Valkey,,,Angular;AngularJS;ASP.NET;ASP.NET Core;Astro;Blazor;Deno;Django;Drupal;Express;FastAPI;Fastify;Flask;jQuery;Laravel;NestJS;Next.js;Node.js;Nuxt.js;Phoenix;React;Ruby on Rails;Spring Boot;Svelte;Symfony;Vue.js;WordPress;Axum,Angular;AngularJS;ASP.NET;ASP.NET Core;Astro;Blazor;Deno;Django;Drupal;Express;FastAPI;Fastify;Flask;jQuery;Laravel;NestJS;Next.js;Node.js;Nuxt.js;Phoenix;React;Ruby on Rails;Spring Boot;Svelte;Symfony;Vue.js;WordPress;Axum,,,Alibaba Cloud Qwen models;Amazon Titan models;Anthropic: Claude Sonnet;Cohere: Command A;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Microsoft Phi-4 models;Mistral AI models;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;Perplexity Sonar models;Reka (Flash 3 or other Reka models);X Grok models,Alibaba Cloud Qwen models;Amazon Titan models;Anthropic: Claude Sonnet;Cohere: Command A;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Microsoft Phi-4 models;Mistral AI models;openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;Perplexity Sonar models;Reka (Flash 3 or other Reka models);X Grok models
11066,,,,,,,,,,,,
11067,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,Cloudflare;Composer;Digital Ocean;Google Cloud;Heroku;npm;Vite;Webpack;Yarn,Cloudflare;Digital Ocean;Heroku;npm;pnpm;Vite,Express;Node.js,Node.js,Visual Studio Code,Visual Studio Code,,
11068,,,,,,,,,,,,
11069,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Visual Basic (.Net),Firebase Realtime Database;Microsoft SQL Server;MySQL,Firebase Realtime Database;Microsoft SQL Server;MySQL,,,Angular;AngularJS;ASP.NET;ASP.NET Core;React,Angular;AngularJS;ASP.NET;ASP.NET Core;React,Cursor;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Lovable.dev;Notepad++;Visual Studio;Visual Studio Code,Cursor;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Lovable.dev;Notepad++;Visual Studio;Visual Studio Code,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);openAI GPT (chatbot models);Perplexity Sonar models;X Grok models,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);openAI GPT (chatbot models);Perplexity Sonar models;X Grok models
11070,Groovy;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;SQL;TypeScript,,DuckDB;H2;MariaDB;MongoDB;MySQL,,Amazon Web Services (AWS);Ansible;APT;Cloudflare;Composer;Digital Ocean;Docker;Google Cloud;Gradle;Maven (build tool);Microsoft Azure;npm;Pip;pnpm;Poetry;Prometheus;Vite;Webpack;Yarn,,Django;Laravel;Node.js;React;Spring Boot;Svelte;Symfony;Vue.js;WordPress,,Nano;Notepad++;VSCodium,Claude Code,openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,
11071,Python;Scala,Python,Databricks SQL,Databricks SQL;SQLite,,,,,,,,
11072,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Dart;Go;Kotlin;R;Swift,Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,MariaDB;MongoDB;Supabase;Amazon Redshift,Composer;Docker;Kubernetes;Microsoft Azure;MSBuild;npm;NuGet;Pip,Podman;Supabase;Terraform;Vercel,Angular;AngularJS;ASP.NET;ASP.NET Core;Blazor;jQuery,Astro;Express;FastAPI;NestJS;Next.js;React,Cline and/or Roo;Notepad++;Visual Studio;Visual Studio Code,,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models);openAI Reasoning models,
11073,,,,,,,,,,,,
11074,Bash/Shell (all shells);HTML/CSS;JavaScript,Bash/Shell (all shells);HTML/CSS;JavaScript,MongoDB;MySQL,MongoDB,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku;New Relic;Webpack;Yarn,Cloudflare;Digital Ocean;Heroku;New Relic;Webpack;Yarn,AngularJS;Express;React,Express;React,,,,
11075,,,,,,,,,,,,
11076,,,,,,,,,,,,
11077,,,,,,,,,,,,
11078,HTML/CSS;Java;JavaScript;Python;Rust;SQL,Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL;SQLite,Bun;Cargo;Chocolatey;Cloudflare;Docker;npm,Bun;Cargo;Chocolatey;Cloudflare;Docker;npm,jQuery;Node.js,jQuery;Node.js,,,,
11079,,,,,,,,,,,,
11080,C#;HTML/CSS;Java;PHP;SQL;TypeScript,C#;SQL;TypeScript,BigQuery;Elasticsearch;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Docker;Kubernetes;npm;NuGet;Yarn,Amazon Web Services (AWS);Docker;NuGet;Yarn,,,Rider;Visual Studio;Visual Studio Code,,openAI GPT (chatbot models),
11081,HTML/CSS;Java;JavaScript;Python;SQL,C#;C++;Java;JavaScript;Python;Rust,BigQuery;MongoDB;MySQL;SQLite,BigQuery;MongoDB;MySQL,Composer;Google Cloud;Maven (build tool),Cargo;Composer;Google Cloud;Maven (build tool),Flask;Node.js;React,Angular;Django;Flask;React,PyCharm;Visual Studio;Visual Studio Code,PyCharm;Visual Studio;Visual Studio Code,Gemini (Flash general purpose models),Gemini (Flash general purpose models)
11082,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Rust,Java;Rust,,,Amazon Web Services (AWS);Cargo;Docker;Kubernetes,Amazon Web Services (AWS);Cargo;Kubernetes,Node.js;React,React,Android Studio;Eclipse;Notepad++;Visual Studio Code,Android Studio;Eclipse;Visual Studio Code,,
11083,,,,,,,,,,,,
11084,Bash/Shell (all shells);Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);JavaScript;Python;TypeScript,MongoDB;MySQL;SQLite,MongoDB;Neo4J;PostgreSQL;SQLite;Valkey,Amazon Web Services (AWS);Docker;Maven (build tool);npm;Pip,Amazon Web Services (AWS);Docker;Kubernetes;npm;Pip,Angular;Flask;Node.js;Spring Boot,Angular;FastAPI;Flask;Node.js,,,,
11085,Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL,Bash/Shell (all shells);C#;JavaScript;PowerShell;Python;R;Rust;SQL,,,npm;Splunk;Terraform,Google Cloud;npm;Splunk;Terraform,,,Cursor;Notepad++;Visual Studio Code,Cursor;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Anthropic: Claude Sonnet;openAI GPT (chatbot models),Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models
11086,Java;TypeScript,Java;TypeScript,Dynamodb,Dynamodb,Amazon Web Services (AWS);Gradle;Maven (build tool);npm,Amazon Web Services (AWS);npm,Node.js;React,Node.js;React,Cline and/or Roo;IntelliJ IDEA;Sublime Text;Vim;Visual Studio Code,Cline and/or Roo;IntelliJ IDEA;Sublime Text;Vim,,
11087,Bash/Shell (all shells);HTML/CSS;JavaScript;Rust,,BigQuery;PostgreSQL;Supabase,,Cargo;Google Cloud;Homebrew;Kubernetes;npm;pnpm;Supabase;Vercel;Vite,,Next.js;Node.js;React,Flask,Cursor;Lovable.dev;Visual Studio Code;Xcode,,Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models),
11088,Bash/Shell (all shells);C#;Groovy;HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;TypeScript,Databricks SQL;Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite;Pocketbase;Valkey,Elasticsearch;MariaDB;PostgreSQL;SQLite;Pocketbase;Valkey,Amazon Web Services (AWS);Chocolatey;Cloudflare;Docker;Kubernetes;MSBuild;npm;NuGet;Pip;Prometheus;Terraform,Amazon Web Services (AWS);Chocolatey;Cloudflare;Docker;Kubernetes;MSBuild;npm;NuGet;Prometheus;Terraform,ASP.NET Core;Express;Node.js;Svelte;WordPress,ASP.NET Core;Express;Node.js;WordPress,Cursor;Jupyter Notebook/JupyterLab;Nano;Visual Studio;Visual Studio Code,Nano;Visual Studio;Visual Studio Code,openAI Image generating models;openAI Reasoning models,
11089,Bash/Shell (all shells);C;C++;Python,Bash/Shell (all shells);C;C++,,,,,,,Jupyter Notebook/JupyterLab;Nano;Neovim;Vim;Visual Studio Code,Nano;Neovim;Vim;Visual Studio Code,openAI GPT (chatbot models),
11090,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL;Redis;Valkey,MongoDB;MySQL;Oracle;PostgreSQL;Redis;Valkey,Amazon Web Services (AWS);Ansible;Docker;Kubernetes;Maven (build tool);npm;Pip,Amazon Web Services (AWS);Ansible;Docker;Kubernetes;Maven (build tool);npm;Pip,,,IntelliJ IDEA;Neovim;PyCharm;Visual Studio Code,IntelliJ IDEA;Neovim;PyCharm;Visual Studio Code,,
11091,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,C#;F#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server;SQLite,Microsoft SQL Server;Snowflake;SQLite,Amazon Web Services (AWS);Chocolatey;Cloudflare;Docker;Microsoft Azure;MSBuild;npm;NuGet;Terraform;Vite;Yarn,Amazon Web Services (AWS);Chocolatey;Cloudflare;Docker;Microsoft Azure;MSBuild;npm;NuGet;Splunk;Terraform;Vite,ASP.NET;ASP.NET Core;Node.js;Vue.js,ASP.NET;ASP.NET Core;Node.js;Vue.js,Jupyter Notebook/JupyterLab;Notepad++;Vim;Visual Studio;Visual Studio Code,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,,
11092,C#;HTML/CSS;JavaScript;SQL,C#;F#;SQL,Cosmos DB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cosmos DB;Microsoft SQL Server;MongoDB;PostgreSQL,Amazon Web Services (AWS);Docker;Maven (build tool);Microsoft Azure;npm;NuGet;Vercel,Docker;Google Cloud;Kubernetes;Microsoft Azure;npm;NuGet;Vercel,ASP.NET;ASP.NET Core;Blazor;Express;jQuery;Next.js;Node.js;React,ASP.NET;ASP.NET Core;Next.js;React,IntelliJ IDEA;Rider;Visual Studio;Visual Studio Code,Rider;Visual Studio Code,openAI GPT (chatbot models);openAI Image generating models,openAI GPT (chatbot models);openAI Image generating models
11093,Groovy;HTML/CSS;Java;JavaScript;SQL,Groovy;HTML/CSS;Java;JavaScript;SQL,BigQuery;Databricks SQL;Dynamodb;MariaDB;MongoDB;MySQL,MariaDB;MongoDB;MySQL,Docker;Gradle;Kubernetes;Maven (build tool);Terraform;Yarn,Docker;Gradle;Kubernetes;Maven (build tool),jQuery;Spring Boot,jQuery;Spring Boot,IntelliJ IDEA,IntelliJ IDEA,openAI GPT (chatbot models),openAI GPT (chatbot models)
11094,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;Microsoft Access;MySQL,MariaDB;MySQL,APT;Composer;Make;npm;Webpack,APT;Composer;npm;Webpack,jQuery;Node.js;Symfony;WordPress,Angular;jQuery;Symfony;WordPress,IntelliJ IDEA;Notepad++;PhpStorm;PyCharm;Vim,IntelliJ IDEA;PhpStorm,,
11095,Bash/Shell (all shells);Go;Java;JavaScript;SQL;TypeScript,Bash/Shell (all shells);Go;Python;SQL,Firebase Realtime Database;MySQL;PostgreSQL;Clickhouse,PostgreSQL;Clickhouse,Cloudflare;Digital Ocean;Docker;Kubernetes;npm;pnpm;Prometheus,Cloudflare;Digital Ocean;Docker;Kubernetes;Prometheus,FastAPI;Fastify;jQuery;Node.js;React;Spring Boot,FastAPI,Cursor;IntelliJ IDEA;Sublime Text,Cursor;Sublime Text,openAI GPT (chatbot models),openAI GPT (chatbot models);openAI Reasoning models
11096,,,,,,,,,,,,
11097,C#;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL;Swift;TypeScript,Python,Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Cosmos DB;MongoDB,Microsoft Azure;npm;NuGet;Webpack,Docker;Kubernetes,Angular;ASP.NET;ASP.NET Core;jQuery;Node.js,,Android Studio;Notepad++;Visual Studio;Visual Studio Code;Xcode,,DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Meta Llama (all models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Meta Llama (all models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models
11098,,,,,,,,,,,,
11099,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL,MariaDB;MySQL,,,jQuery;WordPress,jQuery;WordPress,Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,,
11100,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;TypeScript;Zig,BigQuery;Cloud Firestore;Redis;Clickhouse,BigQuery;Cloud Firestore;PostgreSQL;Redis;SQLite;Clickhouse,Cloudflare;Docker;Firebase;Google Cloud;Homebrew;npm;pnpm;Poetry;Vercel;Vite,Cloudflare;Docker;Firebase;Google Cloud;Homebrew;npm;pnpm;Poetry;Vite,Express;FastAPI;Next.js;Node.js;React,Express;FastAPI;Node.js;React,Neovim;Zed,Neovim;Zed,,
11101,Bash/Shell (all shells);C;Go;JavaScript;PowerShell;Python;Rust;SQL,Bash/Shell (all shells);Elixir;Go;Lua;Python;Ruby;Rust,Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,Elasticsearch;PostgreSQL;SQLite,Amazon Web Services (AWS);Ansible;Cargo;Chocolatey;Digital Ocean;Docker;Homebrew;Kubernetes;Pip,Amazon Web Services (AWS);Ansible;Cargo;Digital Ocean;Homebrew;Kubernetes;Podman;Terraform,,,Neovim;Notepad++;RustRover;Sublime Text;Vim;Visual Studio Code;Zed,Claude Code;Neovim;RustRover;Visual Studio Code;Zed,,
11102,Bash/Shell (all shells);C;C++;Lua;MicroPython;SQL,Bash/Shell (all shells);C++;MicroPython;R;Rust;SQL,InfluxDB;MariaDB;SQLite,InfluxDB;MariaDB;SQLite,Docker;Google Cloud,Docker;Google Cloud,,,Nano;PyCharm;Visual Studio Code,Nano;PyCharm;Visual Studio Code,,
11103,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;SQL;TypeScript,Bash/Shell (all shells);C++;Go;JavaScript;Lua;Python;TypeScript,Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;Firebase Realtime Database;MongoDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);APT;Cloudflare;Datadog;Digital Ocean;Docker;Firebase;Google Cloud;Kubernetes;Make;npm;Pip;pnpm;Poetry;Prometheus;Terraform;Vercel;Vite;Webpack;Yarn,Amazon Web Services (AWS);Ansible;APT;Cloudflare;Datadog;Docker;Firebase;Kubernetes;Make;npm;Prometheus;Terraform;Vite;Webpack;Yarn,Express;NestJS;Next.js;Node.js;React;WordPress,Express;Next.js;Node.js;React;WordPress,Neovim;Vim;Visual Studio Code,Neovim;Vim;Visual Studio Code,DeepSeek (V- General purpose models);Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Image generating models;Perplexity Sonar models,DeepSeek (V- General purpose models);Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Image generating models;Perplexity Sonar models
11104,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Rust;SQL,Rust;SQL,Microsoft SQL Server,PostgreSQL;Redis;SQLite,Docker;npm;NuGet,Cargo;Docker;Terraform,AngularJS;ASP.NET;ASP.NET Core;Blazor;jQuery,Vue.js,Neovim;Rider;RustRover;Vim;Visual Studio;Visual Studio Code,Neovim;Vim,openAI GPT (chatbot models),
11105,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript,Elasticsearch;PostgreSQL,Elasticsearch;PostgreSQL,Heroku;Webpack;Yarn,Heroku;Podman;Vite;Webpack;Yarn,Angular;AngularJS;jQuery;Node.js;Ruby on Rails,Angular;Node.js;Ruby on Rails;Axum,Visual Studio Code;WebStorm,Cursor;Visual Studio Code;WebStorm,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);openAI GPT (chatbot models),Anthropic: Claude Sonnet;Gemini (Flash general purpose models);openAI GPT (chatbot models)
11106,HTML/CSS;JavaScript;Python;SQL,Go;HTML/CSS;OCaml;Python;Rust;SQL;TypeScript,PostgreSQL;Redis,Neo4J;PostgreSQL;Redis,Amazon Web Services (AWS);Homebrew;npm;Pip;Poetry;Terraform;Webpack,Amazon Web Services (AWS);Digital Ocean;Homebrew;Kubernetes;npm;Poetry;Terraform;Vite,Flask;React,Deno;FastAPI;React;Vue.js,Aider;Cursor;PyCharm;RustRover;Visual Studio Code;Windsurf;Zed,Claude Code;Cursor;PyCharm;RustRover,Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models;openAI GPT (chatbot models),Alibaba Cloud Qwen models;Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);Gemini (Pro Reasoning models)
